id,Law,Article,split,target
Ley 47 de 1981__68,Ley 47 de 1981,68,train,Completeness
Ley 47 de 1981__48,Ley 47 de 1981,48,train,Completeness
Ley 47 de 1981__36,Ley 47 de 1981,36,train,Completeness
Ley 109 de 1985__2,Ley 109 de 1985,2,train,Completeness
Ley 47 de 1981__1,Ley 47 de 1981,1,train,Completeness
Ley 47 de 1981__72,Ley 47 de 1981,72,train,Completeness
Ley 1004 de 2005__5,Ley 1004 de 2005,5,train,Completeness
Ley 105 de 1958__27,Ley 105 de 1958,27,train,Completeness
Ley 47 de 1981__45,Ley 47 de 1981,45,train,Completeness
Ley 47 de 1981__22,Ley 47 de 1981,22,train,Completeness
Ley 109 de 1985__1,Ley 109 de 1985,1,train,Completeness
Ley 47 de 1981__16,Ley 47 de 1981,16,train,Completeness
Ley 1004 de 2005__9,Ley 1004 de 2005,9,train,Completeness
Ley 109 de 1985__38,Ley 109 de 1985,38,train,Completeness
Ley 105 de 1958__28,Ley 105 de 1958,28,train,Completeness
Ley 47 de 1981__75,Ley 47 de 1981,75,train,Completeness
Ley 47 de 1981__21,Ley 47 de 1981,21,train,Completeness
Ley 109 de 1985__16,Ley 109 de 1985,16,train,Completeness
Ley 1004 de 2005__7,Ley 1004 de 2005,7,train,Completeness
Ley 47 de 1981__8,Ley 47 de 1981,8,train,Completeness
Ley 47 de 1981__25,Ley 47 de 1981,25,train,Completeness
Ley 105 de 1958__8,Ley 105 de 1958,8,train,Completeness
Ley 47 de 1981__44,Ley 47 de 1981,44,train,Completeness
Ley 47 de 1981__2,Ley 47 de 1981,2,train,Completeness
Ley 47 de 1981__42,Ley 47 de 1981,42,train,Completeness
Ley 109 de 1985__28,Ley 109 de 1985,28,train,Completeness
Ley 47 de 1981__60,Ley 47 de 1981,60,train,Completeness
Ley 105 de 1958__21,Ley 105 de 1958,21,train,Completeness
Ley 109 de 1985__35,Ley 109 de 1985,35,train,Completeness
Ley 105 de 1958__17,Ley 105 de 1958,17,train,Completeness
Ley 109 de 1985__18,Ley 109 de 1985,18,train,Completeness
Ley 47 de 1981__57,Ley 47 de 1981,57,train,Completeness
Ley 109 de 1985__8,Ley 109 de 1985,8,train,Completeness
Ley 1004 de 2005__6,Ley 1004 de 2005,6,train,Completeness
Ley 47 de 1981__24,Ley 47 de 1981,24,train,Completeness
Ley 109 de 1985__20,Ley 109 de 1985,20,train,Completeness
Ley 105 de 1958__38,Ley 105 de 1958,38,train,Completeness
Ley 109 de 1985__30,Ley 109 de 1985,30,train,Completeness
Ley 109 de 1985__25,Ley 109 de 1985,25,train,Completeness
Ley 109 de 1985__34,Ley 109 de 1985,34,train,Completeness
Ley 47 de 1981__59,Ley 47 de 1981,59,train,Completeness
Ley 105 de 1958__5,Ley 105 de 1958,5,train,Completeness
Ley 47 de 1981__39,Ley 47 de 1981,39,train,Completeness
Ley 109 de 1985__7,Ley 109 de 1985,7,train,Completeness
Ley 1004 de 2005__10,Ley 1004 de 2005,10,train,Completeness
Ley 109 de 1985__3,Ley 109 de 1985,3,train,Completeness
Ley 105 de 1958__12,Ley 105 de 1958,12,train,Completeness
Ley 47 de 1981__70,Ley 47 de 1981,70,train,Completeness
Ley 109 de 1985__31,Ley 109 de 1985,31,train,Completeness
Ley 105 de 1958__4,Ley 105 de 1958,4,train,Completeness
Ley 105 de 1958__37,Ley 105 de 1958,37,train,Completeness
Ley 47 de 1981__33,Ley 47 de 1981,33,train,Completeness
Ley 47 de 1981__5,Ley 47 de 1981,5,train,Completeness
Ley 109 de 1985__32,Ley 109 de 1985,32,train,Completeness
Ley 105 de 1958__19,Ley 105 de 1958,19,train,Completeness
Ley 105 de 1958__30,Ley 105 de 1958,30,train,Completeness
Ley 47 de 1981__61,Ley 47 de 1981,61,train,Completeness
Ley 109 de 1985__29,Ley 109 de 1985,29,train,Completeness
Ley 47 de 1981__10,Ley 47 de 1981,10,train,Completeness
Ley 105 de 1958__32,Ley 105 de 1958,32,train,Completeness
Ley 109 de 1985__4,Ley 109 de 1985,4,train,Completeness
Ley 109 de 1985__19,Ley 109 de 1985,19,train,Completeness
Ley 47 de 1981__3,Ley 47 de 1981,3,train,Completeness
Ley 47 de 1981__38,Ley 47 de 1981,38,train,Completeness
Ley 109 de 1985__26,Ley 109 de 1985,26,train,Completeness
Ley 109 de 1985__23,Ley 109 de 1985,23,train,Completeness
Ley 47 de 1981__43,Ley 47 de 1981,43,train,Completeness
Ley 47 de 1981__58,Ley 47 de 1981,58,train,Completeness
Ley 105 de 1958__35,Ley 105 de 1958,35,train,Completeness
Ley 109 de 1985__14,Ley 109 de 1985,14,train,Completeness
Ley 47 de 1981__12,Ley 47 de 1981,12,train,Completeness
Ley 1004 de 2005__8,Ley 1004 de 2005,8,train,Completeness
Ley 105 de 1958__6,Ley 105 de 1958,6,train,Completeness
Ley 47 de 1981__66,Ley 47 de 1981,66,train,Completeness
Ley 105 de 1958__11,Ley 105 de 1958,11,train,Completeness
Ley 105 de 1958__26,Ley 105 de 1958,26,train,Completeness
Ley 47 de 1981__73,Ley 47 de 1981,73,train,Completeness
Ley 47 de 1981__37,Ley 47 de 1981,37,train,Completeness
Ley 1004 de 2005__1,Ley 1004 de 2005,1,train,Completeness
Ley 47 de 1981__28,Ley 47 de 1981,28,train,Completeness
Ley 109 de 1985__24,Ley 109 de 1985,24,train,Completeness
Ley 47 de 1981__69,Ley 47 de 1981,69,train,Completeness
Ley 109 de 1985__15,Ley 109 de 1985,15,train,Completeness
Ley 47 de 1981__17,Ley 47 de 1981,17,train,Completeness
Ley 47 de 1981__64,Ley 47 de 1981,64,train,Completeness
Ley 105 de 1958__31,Ley 105 de 1958,31,train,Completeness
Ley 47 de 1981__46,Ley 47 de 1981,46,train,Completeness
Ley 109 de 1985__39,Ley 109 de 1985,39,train,Completeness
Ley 105 de 1958__14,Ley 105 de 1958,14,train,Completeness
Ley 47 de 1981__30,Ley 47 de 1981,30,train,Completeness
Ley 47 de 1981__13,Ley 47 de 1981,13,train,Completeness
Ley 109 de 1985__41,Ley 109 de 1985,41,train,Completeness
Ley 105 de 1958__24,Ley 105 de 1958,24,train,Completeness
Ley 105 de 1958__29,Ley 105 de 1958,29,train,Completeness
Ley 109 de 1985__13,Ley 109 de 1985,13,train,Completeness
Ley 47 de 1981__52,Ley 47 de 1981,52,train,Completeness
Ley 109 de 1985__6,Ley 109 de 1985,6,train,Completeness
Ley 109 de 1985__10,Ley 109 de 1985,10,train,Completeness
Ley 47 de 1981__71,Ley 47 de 1981,71,train,Completeness
Ley 47 de 1981__11,Ley 47 de 1981,11,train,Completeness
Ley 47 de 1981__54,Ley 47 de 1981,54,train,Completeness
Ley 109 de 1985__36,Ley 109 de 1985,36,train,Completeness
Ley 105 de 1958__22,Ley 105 de 1958,22,train,Completeness
Ley 105 de 1958__18,Ley 105 de 1958,18,train,Completeness
Ley 47 de 1981__15,Ley 47 de 1981,15,train,Completeness
Ley 47 de 1981__40,Ley 47 de 1981,40,train,Completeness
Ley 47 de 1981__65,Ley 47 de 1981,65,train,Completeness
Ley 109 de 1985__22,Ley 109 de 1985,22,train,Completeness
Ley 47 de 1981__41,Ley 47 de 1981,41,train,Completeness
Ley 105 de 1958__10,Ley 105 de 1958,10,train,Completeness
Ley 47 de 1981__53,Ley 47 de 1981,53,train,Completeness
Ley 47 de 1981__27,Ley 47 de 1981,27,train,Completeness
Ley 47 de 1981__49,Ley 47 de 1981,49,train,Completeness
Ley 47 de 1981__31,Ley 47 de 1981,31,train,Completeness
Ley 109 de 1985__27,Ley 109 de 1985,27,train,Completeness
Ley 1004 de 2005__4,Ley 1004 de 2005,4,train,Completeness
Ley 47 de 1981__9,Ley 47 de 1981,9,train,Completeness
Ley 105 de 1958__3,Ley 105 de 1958,3,train,Completeness
Ley 109 de 1985__33,Ley 109 de 1985,33,train,Completeness
Ley 105 de 1958__20,Ley 105 de 1958,20,train,Completeness
Ley 105 de 1958__7,Ley 105 de 1958,7,train,Completeness
Ley 47 de 1981__51,Ley 47 de 1981,51,train,Completeness
Ley 109 de 1985__5,Ley 109 de 1985,5,train,Completeness
Ley 109 de 1985__21,Ley 109 de 1985,21,train,Completeness
Ley 47 de 1981__7,Ley 47 de 1981,7,train,Completeness
Ley 47 de 1981__14,Ley 47 de 1981,14,train,Completeness
Ley 105 de 1958__33,Ley 105 de 1958,33,train,Completeness
Ley 1004 de 2005__11,Ley 1004 de 2005,11,train,Completeness
Ley 109 de 1985__40,Ley 109 de 1985,40,train,Completeness
Ley 105 de 1958__15,Ley 105 de 1958,15,train,Completeness
Ley 105 de 1958__25,Ley 105 de 1958,25,train,Completeness
Ley 105 de 1958__9,Ley 105 de 1958,9,train,Completeness
Ley 109 de 1985__17,Ley 109 de 1985,17,train,Completeness
Ley 47 de 1981__20,Ley 47 de 1981,20,train,Completeness
Ley 47 de 1981__74,Ley 47 de 1981,74,train,Completeness
