id,Law,Article,split,target
Ley 105 de 1958__21,Ley 105 de 1958,21,train,Relevance
Ley 47 de 1981__10,Ley 47 de 1981,10,train,Relevance
Ley 47 de 1981__30,Ley 47 de 1981,30,train,Relevance
Ley 105 de 1958__22,Ley 105 de 1958,22,train,Relevance
Ley 47 de 1981__8,Ley 47 de 1981,8,train,Relevance
Ley 105 de 1958__4,Ley 105 de 1958,4,train,Relevance
Ley 47 de 1981__12,Ley 47 de 1981,12,train,Relevance
Ley 109 de 1985__39,Ley 109 de 1985,39,train,Relevance
Ley 109 de 1985__13,Ley 109 de 1985,13,train,Relevance
Ley 109 de 1985__30,Ley 109 de 1985,30,train,Relevance
Ley 109 de 1985__23,Ley 109 de 1985,23,train,Relevance
Ley 47 de 1981__1,Ley 47 de 1981,1,train,Relevance
Ley 109 de 1985__32,Ley 109 de 1985,32,train,Relevance
Ley 105 de 1958__6,Ley 105 de 1958,6,train,Relevance
Ley 47 de 1981__48,Ley 47 de 1981,48,train,Relevance
Ley 105 de 1958__33,Ley 105 de 1958,33,train,Relevance
Ley 47 de 1981__3,Ley 47 de 1981,3,train,Relevance
Ley 1004 de 2005__13,Ley 1004 de 2005,13,train,Relevance
Ley 109 de 1985__3,Ley 109 de 1985,3,train,Relevance
Ley 47 de 1981__4,Ley 47 de 1981,4,train,Relevance
Ley 109 de 1985__10,Ley 109 de 1985,10,train,Relevance
Ley 47 de 1981__11,Ley 47 de 1981,11,train,Relevance
Ley 47 de 1981__69,Ley 47 de 1981,69,train,Relevance
Ley 47 de 1981__45,Ley 47 de 1981,45,train,Relevance
Ley 1004 de 2005__4,Ley 1004 de 2005,4,train,Relevance
Ley 1004 de 2005__12,Ley 1004 de 2005,12,train,Relevance
Ley 105 de 1958__1,Ley 105 de 1958,1,train,Relevance
Ley 47 de 1981__40,Ley 47 de 1981,40,train,Relevance
Ley 47 de 1981__23,Ley 47 de 1981,23,train,Relevance
Ley 1004 de 2005__2,Ley 1004 de 2005,2,train,Relevance
Ley 109 de 1985__21,Ley 109 de 1985,21,train,Relevance
Ley 47 de 1981__37,Ley 47 de 1981,37,train,Relevance
Ley 105 de 1958__7,Ley 105 de 1958,7,train,Relevance
Ley 47 de 1981__72,Ley 47 de 1981,72,train,Relevance
Ley 105 de 1958__28,Ley 105 de 1958,28,train,Relevance
Ley 109 de 1985__38,Ley 109 de 1985,38,train,Relevance
Ley 47 de 1981__43,Ley 47 de 1981,43,train,Relevance
Ley 109 de 1985__25,Ley 109 de 1985,25,train,Relevance
Ley 105 de 1958__30,Ley 105 de 1958,30,train,Relevance
Ley 109 de 1985__6,Ley 109 de 1985,6,train,Relevance
Ley 47 de 1981__2,Ley 47 de 1981,2,train,Relevance
Ley 47 de 1981__54,Ley 47 de 1981,54,train,Relevance
Ley 47 de 1981__6,Ley 47 de 1981,6,train,Relevance
Ley 1004 de 2005__10,Ley 1004 de 2005,10,train,Relevance
Ley 109 de 1985__18,Ley 109 de 1985,18,train,Relevance
Ley 47 de 1981__18,Ley 47 de 1981,18,train,Relevance
Ley 47 de 1981__61,Ley 47 de 1981,61,train,Relevance
Ley 47 de 1981__75,Ley 47 de 1981,75,train,Relevance
Ley 47 de 1981__47,Ley 47 de 1981,47,train,Relevance
Ley 47 de 1981__74,Ley 47 de 1981,74,train,Relevance
Ley 105 de 1958__14,Ley 105 de 1958,14,train,Relevance
Ley 47 de 1981__52,Ley 47 de 1981,52,train,Relevance
Ley 47 de 1981__53,Ley 47 de 1981,53,train,Relevance
Ley 47 de 1981__63,Ley 47 de 1981,63,train,Relevance
Ley 47 de 1981__67,Ley 47 de 1981,67,train,Relevance
Ley 105 de 1958__3,Ley 105 de 1958,3,train,Relevance
Ley 47 de 1981__64,Ley 47 de 1981,64,train,Relevance
Ley 1004 de 2005__6,Ley 1004 de 2005,6,train,Relevance
Ley 109 de 1985__4,Ley 109 de 1985,4,train,Relevance
Ley 47 de 1981__7,Ley 47 de 1981,7,train,Relevance
Ley 47 de 1981__73,Ley 47 de 1981,73,train,Relevance
Ley 105 de 1958__39,Ley 105 de 1958,39,train,Relevance
Ley 47 de 1981__9,Ley 47 de 1981,9,train,Relevance
Ley 1004 de 2005__9,Ley 1004 de 2005,9,train,Relevance
Ley 47 de 1981__60,Ley 47 de 1981,60,train,Relevance
Ley 105 de 1958__29,Ley 105 de 1958,29,train,Relevance
Ley 109 de 1985__29,Ley 109 de 1985,29,train,Relevance
Ley 47 de 1981__16,Ley 47 de 1981,16,train,Relevance
Ley 105 de 1958__26,Ley 105 de 1958,26,train,Relevance
Ley 47 de 1981__51,Ley 47 de 1981,51,train,Relevance
Ley 1004 de 2005__5,Ley 1004 de 2005,5,train,Relevance
Ley 109 de 1985__2,Ley 109 de 1985,2,train,Relevance
Ley 109 de 1985__9,Ley 109 de 1985,9,train,Relevance
Ley 109 de 1985__33,Ley 109 de 1985,33,train,Relevance
Ley 105 de 1958__31,Ley 105 de 1958,31,train,Relevance
Ley 109 de 1985__36,Ley 109 de 1985,36,train,Relevance
Ley 105 de 1958__23,Ley 105 de 1958,23,train,Relevance
Ley 105 de 1958__25,Ley 105 de 1958,25,train,Relevance
