Law,Article,category,category_value,complexity_index
Ley 105 de 1958,22,Completeness,1,0.24003623188405798
Ley 105 de 1958,27,Completeness,1,0.1137725890141349
Ley 47 de 1981,28,Completeness,1,0.06657795073656587
Ley 47 de 1981,37,Completeness,1,0.1895687958489891
Ley 109 de 1985,34,Completeness,1,0.14279164430130614
Ley 105 de 1958,35,Completeness,1,0.1137725890141349
Ley 105 de 1958,36,Completeness,1,0.08890230810520665
Ley 47 de 1981,32,Completeness,1,0.14472624798711756
Ley 47 de 1981,35,Completeness,1,0.10796877795670067
Ley 47 de 1981,65,Completeness,1,0.1273148148148148
Ley 109 de 1985,13,Completeness,1,0.16995437466451957
Ley 1004 de 2005,12,Completeness,1,0.1457662372517445
Ley 105 de 1958,11,Completeness,1,0.036388441581678296
Ley 105 de 1958,19,Completeness,1,0.13311862587224907
Ley 105 de 1958,20,Completeness,1,0.27873948828055106
Ley 105 de 1958,24,Completeness,1,0.18669484702093397
Ley 105 de 1958,25,Completeness,1,0.15409733404902484
Ley 105 de 1958,26,Completeness,1,0.1623613347647164
Ley 47 de 1981,22,Completeness,1,0.3909465020576131
Ley 47 de 1981,25,Completeness,1,0.09442655215602075
Ley 47 de 1981,41,Completeness,1,0.13276078010377526
Ley 109 de 1985,7,Completeness,1,0.11957640007156915
Ley 1004 de 2005,3,Completeness,1,0.20780344633001638
Ley 1004 de 2005,7,Completeness,1,0.19280059044551798
Ley 1004 de 2005,8,Completeness,1,0.12167874396135266
Ley 105 de 1958,17,Completeness,1,0.4267310789049919
Ley 105 de 1958,21,Completeness,1,0.5217391304347826
Ley 47 de 1981,26,Completeness,1,0.14297802230571954
Ley 47 de 1981,27,Completeness,1,0.181047593487207
Ley 47 de 1981,69,Completeness,1,0.15633387010198604
Ley 109 de 1985,8,Completeness,1,0.11003757380568974
Ley 109 de 1985,26,Completeness,1,0.19413132939702984
Ley 1004 de 2005,2,Completeness,1,0.07336732868133834
Ley 105 de 1958,1,Completeness,1,0.13107666845589552
Ley 105 de 1958,9,Completeness,1,0.3737699051708714
Ley 105 de 1958,31,Completeness,1,0.10371935945607443
Ley 105 de 1958,33,Completeness,1,0.09249194847020935
Ley 47 de 1981,2,Completeness,1,0.14297802230571954
Ley 47 de 1981,7,Completeness,1,0.07894972266952943
Ley 47 de 1981,15,Completeness,1,0.11751133178266833
Ley 47 de 1981,19,Completeness,1,0.35366344605475036
Ley 47 de 1981,31,Completeness,1,0.05960368581141528
Ley 47 de 1981,73,Completeness,1,0.22121578099838968
Ley 109 de 1985,21,Completeness,1,0.21008901413490785
Ley 1004 de 2005,4,Completeness,1,0.19909004933159521
Ley 105 de 1958,7,Completeness,1,0.20346141229796624
Ley 105 de 1958,14,Completeness,1,0.10371935945607443
