Law,Article,category,category_value,complexity_index
Ley 105 de 1958,22,Differential Regime,1,0.24003623188405798
Ley 105 de 1958,27,Differential Regime,1,0.1137725890141349
Ley 47 de 1981,28,Differential Regime,1,0.06657795073656587
Ley 47 de 1981,37,Differential Regime,1,0.1895687958489891
Ley 109 de 1985,34,Differential Regime,1,0.14279164430130614
Ley 105 de 1958,35,Differential Regime,1,0.1137725890141349
Ley 105 de 1958,36,Differential Regime,1,0.08890230810520665
Ley 47 de 1981,35,Differential Regime,1,0.10796877795670067
Ley 47 de 1981,38,Differential Regime,1,0.12228633625574044
Ley 47 de 1981,47,Differential Regime,1,0.1711061907317946
Ley 47 de 1981,50,Differential Regime,1,0.1253802111290034
Ley 47 de 1981,53,Differential Regime,1,0.17678699230631598
Ley 47 de 1981,57,Differential Regime,1,0.17252639112542492
Ley 47 de 1981,65,Differential Regime,1,0.1273148148148148
Ley 109 de 1985,13,Differential Regime,1,0.16995437466451957
Ley 109 de 1985,38,Differential Regime,1,0.07135295520963798
Ley 1004 de 2005,10,Differential Regime,1,0.28637502236536055
Ley 1004 de 2005,12,Differential Regime,1,0.1457662372517445
Ley 105 de 1958,25,Differential Regime,1,0.15409733404902484
Ley 105 de 1958,29,Differential Regime,1,0.044451154052603324
Ley 47 de 1981,22,Differential Regime,1,0.3909465020576131
Ley 47 de 1981,43,Differential Regime,1,0.123445607443192
Ley 47 de 1981,66,Differential Regime,1,0.12139917695473251
Ley 47 de 1981,67,Differential Regime,1,0.0920446412596171
Ley 47 de 1981,71,Differential Regime,1,0.05573447843979245
Ley 109 de 1985,15,Differential Regime,1,0.23529477545178032
Ley 109 de 1985,16,Differential Regime,1,0.09441536947575595
Ley 1004 de 2005,7,Differential Regime,1,0.19280059044551798
Ley 1004 de 2005,8,Differential Regime,1,0.12167874396135266
Ley 47 de 1981,6,Differential Regime,1,0.21017048794826573
Ley 47 de 1981,27,Differential Regime,1,0.181047593487207
Ley 47 de 1981,39,Differential Regime,1,0.09363630941730781
Ley 47 de 1981,45,Differential Regime,1,0.17059626051171942
Ley 47 de 1981,48,Differential Regime,1,0.09636115584183218
Ley 47 de 1981,61,Differential Regime,1,0.08589416711397387
Ley 47 de 1981,69,Differential Regime,1,0.15633387010198604
Ley 109 de 1985,9,Differential Regime,1,0.23251028806584362
Ley 109 de 1985,14,Differential Regime,1,0.1505300590445518
Ley 1004 de 2005,1,Differential Regime,1,0.09363630941730781
Ley 105 de 1958,1,Differential Regime,1,0.13107666845589552
Ley 47 de 1981,7,Differential Regime,1,0.07894972266952943
Ley 47 de 1981,46,Differential Regime,1,0.4679280730005368
Ley 47 de 1981,49,Differential Regime,1,0.07121130792628377
Ley 47 de 1981,51,Differential Regime,1,0.14128198246555734
Ley 47 de 1981,52,Differential Regime,1,0.3886316872427984
Ley 47 de 1981,54,Differential Regime,1,0.0920446412596171
Ley 47 de 1981,55,Differential Regime,1,0.18508677759885492
Ley 47 de 1981,56,Differential Regime,1,0.05186527106816962
Ley 47 de 1981,58,Differential Regime,1,0.22675344426552158
Ley 47 de 1981,60,Differential Regime,1,0.049930667382358206
Ley 47 de 1981,68,Differential Regime,1,0.07135295520963798
Ley 109 de 1985,10,Differential Regime,1,0.08668813741277509
Ley 1004 de 2005,5,Differential Regime,1,0.12005054571479694
Ley 105 de 1958,4,Differential Regime,1,0.07112184648416532
Ley 47 de 1981,63,Differential Regime,1,0.12151100375738055
Ley 47 de 1981,64,Differential Regime,1,0.07294462336732868
Ley 109 de 1985,2,Differential Regime,1,0.1015946502057613
Ley 109 de 1985,18,Differential Regime,1,0.08088432635534085
Ley 109 de 1985,36,Differential Regime,1,0.05186527106816962
Ley 1004 de 2005,11,Differential Regime,1,0.07612050456253354
