Law,Article,category,category_value,complexity_index
Ley 105 de 1958,22,Discretionality,1,0.24003623188405798
Ley 105 de 1958,27,Discretionality,1,0.1137725890141349
Ley 47 de 1981,28,Discretionality,1,0.06657795073656587
Ley 47 de 1981,37,Discretionality,1,0.1895687958489891
Ley 109 de 1985,34,Discretionality,1,0.14279164430130614
Ley 105 de 1958,35,Discretionality,1,0.1137725890141349
Ley 105 de 1958,36,Discretionality,1,0.08890230810520665
Ley 47 de 1981,32,Discretionality,1,0.14472624798711756
Ley 47 de 1981,38,Discretionality,1,0.12228633625574044
Ley 47 de 1981,47,Discretionality,1,0.1711061907317946
Ley 47 de 1981,50,Discretionality,1,0.1253802111290034
Ley 47 de 1981,53,Discretionality,1,0.17678699230631598
Ley 47 de 1981,57,Discretionality,1,0.17252639112542492
Ley 109 de 1985,13,Discretionality,1,0.16995437466451957
Ley 109 de 1985,38,Discretionality,1,0.07135295520963798
Ley 1004 de 2005,10,Discretionality,1,0.28637502236536055
Ley 105 de 1958,11,Discretionality,1,0.036388441581678296
Ley 105 de 1958,19,Discretionality,1,0.13311862587224907
Ley 105 de 1958,26,Discretionality,1,0.1623613347647164
Ley 105 de 1958,38,Discretionality,1,0.157373859366613
Ley 47 de 1981,22,Discretionality,1,0.3909465020576131
Ley 47 de 1981,25,Discretionality,1,0.09442655215602075
Ley 47 de 1981,33,Discretionality,1,0.06180294626349377
Ley 47 de 1981,36,Discretionality,1,0.1376632671318662
Ley 47 de 1981,41,Discretionality,1,0.13276078010377526
Ley 47 de 1981,59,Discretionality,1,0.07121130792628377
Ley 47 de 1981,66,Discretionality,1,0.12139917695473251
Ley 47 de 1981,67,Discretionality,1,0.0920446412596171
Ley 109 de 1985,7,Discretionality,1,0.11957640007156915
Ley 109 de 1985,15,Discretionality,1,0.23529477545178032
Ley 105 de 1958,3,Discretionality,1,0.036388441581678296
Ley 105 de 1958,30,Discretionality,1,0.10964617999642153
Ley 105 de 1958,34,Discretionality,1,0.16684558955090356
Ley 47 de 1981,6,Discretionality,1,0.21017048794826573
Ley 47 de 1981,8,Discretionality,1,0.1764030536172243
Ley 47 de 1981,39,Discretionality,1,0.09363630941730781
Ley 47 de 1981,45,Discretionality,1,0.17059626051171942
Ley 47 de 1981,48,Discretionality,1,0.09636115584183218
Ley 47 de 1981,69,Discretionality,1,0.15633387010198604
Ley 47 de 1981,74,Discretionality,1,0.03832304526748971
Ley 109 de 1985,8,Discretionality,1,0.11003757380568974
Ley 109 de 1985,9,Discretionality,1,0.23251028806584362
Ley 109 de 1985,14,Discretionality,1,0.1505300590445518
Ley 109 de 1985,22,Discretionality,1,0.15610574342458403
Ley 109 de 1985,28,Discretionality,1,0.07701511898371802
Ley 109 de 1985,35,Discretionality,1,0.12387800441343115
Ley 105 de 1958,2,Discretionality,1,0.02963410270173555
Ley 105 de 1958,9,Discretionality,1,0.3737699051708714
Ley 105 de 1958,18,Discretionality,1,0.07462575296713782
Ley 47 de 1981,10,Discretionality,1,0.3346081588835212
Ley 47 de 1981,11,Discretionality,1,0.5020128824476651
Ley 47 de 1981,16,Discretionality,1,0.2307546072642691
Ley 47 de 1981,46,Discretionality,1,0.4679280730005368
Ley 47 de 1981,49,Discretionality,1,0.07121130792628377
Ley 47 de 1981,51,Discretionality,1,0.14128198246555734
Ley 47 de 1981,52,Discretionality,1,0.3886316872427984
Ley 47 de 1981,54,Discretionality,1,0.0920446412596171
Ley 47 de 1981,55,Discretionality,1,0.18508677759885492
Ley 47 de 1981,58,Discretionality,1,0.22675344426552158
Ley 47 de 1981,68,Discretionality,1,0.07135295520963798
Ley 47 de 1981,73,Discretionality,1,0.22121578099838968
Ley 109 de 1985,21,Discretionality,1,0.21008901413490785
Ley 1004 de 2005,4,Discretionality,1,0.19909004933159521
Ley 105 de 1958,6,Discretionality,1,0.05630479513329755
Ley 105 de 1958,8,Discretionality,1,0.06519502594381821
Ley 105 de 1958,12,Discretionality,1,0.02671542315262122
Ley 105 de 1958,15,Discretionality,1,0.10371935945607443
Ley 47 de 1981,4,Discretionality,1,0.08579352299159061
Ley 47 de 1981,12,Discretionality,1,0.06498628257887516
Ley 47 de 1981,13,Discretionality,1,0.07894972266952943
Ley 47 de 1981,14,Discretionality,1,0.049930667382358206
Ley 47 de 1981,17,Discretionality,1,0.07701511898371802
Ley 47 de 1981,20,Discretionality,1,0.053799874753981035
Ley 47 de 1981,62,Discretionality,1,0.08249463231347288
Ley 109 de 1985,23,Discretionality,1,0.047477932844277454
Ley 109 de 1985,29,Discretionality,1,0.05066126915965885
