Law,Article,category,category_value,complexity_index
Ley 105 de 1958,22,Interpretability,3,0.24003623188405798
Ley 105 de 1958,27,Interpretability,3,0.1137725890141349
Ley 47 de 1981,28,Interpretability,3,0.06657795073656587
Ley 47 de 1981,37,Interpretability,3,0.1895687958489891
Ley 109 de 1985,34,Interpretability,3,0.14279164430130614
Ley 105 de 1958,35,Interpretability,2,0.1137725890141349
Ley 105 de 1958,36,Interpretability,2,0.08890230810520665
Ley 47 de 1981,32,Interpretability,3,0.14472624798711756
Ley 47 de 1981,35,Interpretability,3,0.10796877795670067
Ley 47 de 1981,38,Interpretability,3,0.12228633625574044
Ley 47 de 1981,47,Interpretability,3,0.1711061907317946
Ley 47 de 1981,50,Interpretability,3,0.1253802111290034
Ley 47 de 1981,53,Interpretability,3,0.17678699230631598
Ley 47 de 1981,57,Interpretability,3,0.17252639112542492
Ley 47 de 1981,65,Interpretability,3,0.1273148148148148
Ley 109 de 1985,13,Interpretability,3,0.16995437466451957
Ley 109 de 1985,38,Interpretability,3,0.07135295520963798
Ley 1004 de 2005,10,Interpretability,3,0.28637502236536055
Ley 1004 de 2005,12,Interpretability,3,0.1457662372517445
Ley 105 de 1958,11,Interpretability,3,0.036388441581678296
Ley 105 de 1958,19,Interpretability,3,0.13311862587224907
Ley 105 de 1958,20,Interpretability,3,0.27873948828055106
Ley 105 de 1958,24,Interpretability,3,0.18669484702093397
Ley 105 de 1958,25,Interpretability,2,0.15409733404902484
Ley 105 de 1958,26,Interpretability,2,0.1623613347647164
Ley 105 de 1958,29,Interpretability,3,0.044451154052603324
Ley 105 de 1958,38,Interpretability,3,0.157373859366613
Ley 47 de 1981,22,Interpretability,2,0.3909465020576131
Ley 47 de 1981,25,Interpretability,2,0.09442655215602075
Ley 47 de 1981,33,Interpretability,3,0.06180294626349377
Ley 47 de 1981,36,Interpretability,3,0.1376632671318662
Ley 47 de 1981,41,Interpretability,2,0.13276078010377526
Ley 47 de 1981,43,Interpretability,3,0.123445607443192
Ley 47 de 1981,59,Interpretability,3,0.07121130792628377
Ley 47 de 1981,66,Interpretability,3,0.12139917695473251
Ley 47 de 1981,67,Interpretability,3,0.0920446412596171
Ley 47 de 1981,71,Interpretability,3,0.05573447843979245
Ley 109 de 1985,7,Interpretability,3,0.11957640007156915
Ley 109 de 1985,15,Interpretability,2,0.23529477545178032
Ley 109 de 1985,16,Interpretability,3,0.09441536947575595
Ley 1004 de 2005,3,Interpretability,3,0.20780344633001638
Ley 1004 de 2005,7,Interpretability,2,0.19280059044551798
Ley 1004 de 2005,8,Interpretability,2,0.12167874396135266
Ley 105 de 1958,3,Interpretability,3,0.036388441581678296
Ley 105 de 1958,17,Interpretability,3,0.4267310789049919
Ley 105 de 1958,21,Interpretability,3,0.5217391304347826
Ley 105 de 1958,30,Interpretability,2,0.10964617999642153
Ley 105 de 1958,34,Interpretability,2,0.16684558955090356
Ley 47 de 1981,6,Interpretability,2,0.21017048794826573
Ley 47 de 1981,8,Interpretability,3,0.1764030536172243
Ley 47 de 1981,26,Interpretability,2,0.14297802230571954
Ley 47 de 1981,34,Interpretability,3,0.036388441581678296
Ley 47 de 1981,61,Interpretability,2,0.08589416711397387
Ley 47 de 1981,74,Interpretability,3,0.03832304526748971
Ley 109 de 1985,14,Interpretability,2,0.1505300590445518
Ley 109 de 1985,22,Interpretability,2,0.15610574342458403
Ley 109 de 1985,26,Interpretability,3,0.19413132939702984
Ley 109 de 1985,28,Interpretability,3,0.07701511898371802
Ley 109 de 1985,35,Interpretability,3,0.12387800441343115
Ley 109 de 1985,39,Interpretability,3,0.07931129599809149
Ley 1004 de 2005,1,Interpretability,2,0.09363630941730781
Ley 1004 de 2005,2,Interpretability,3,0.07336732868133834
Ley 1004 de 2005,9,Interpretability,3,0.2294946919544343
Ley 105 de 1958,2,Interpretability,2,0.02963410270173555
Ley 105 de 1958,10,Interpretability,3,0.04588626468658674
Ley 105 de 1958,18,Interpretability,2,0.07462575296713782
Ley 105 de 1958,28,Interpretability,2,0.08890230810520665
Ley 105 de 1958,32,Interpretability,2,0.10075594918590088
Ley 47 de 1981,10,Interpretability,2,0.3346081588835212
Ley 47 de 1981,11,Interpretability,2,0.5020128824476651
Ley 47 de 1981,15,Interpretability,2,0.11751133178266833
Ley 47 de 1981,16,Interpretability,2,0.2307546072642691
Ley 47 de 1981,19,Interpretability,2,0.35366344605475036
Ley 47 de 1981,30,Interpretability,2,0.057669082125603864
Ley 47 de 1981,70,Interpretability,3,0.11910299994035904
Ley 109 de 1985,5,Interpretability,3,0.034453837895866875
Ley 109 de 1985,6,Interpretability,3,0.034453837895866875
Ley 109 de 1985,11,Interpretability,2,0.0750805152979066
Ley 109 de 1985,30,Interpretability,3,0.04799606369654679
Ley 109 de 1985,32,Interpretability,3,0.06734210055466094
Ley 109 de 1985,33,Interpretability,3,0.13979468599033817
Ley 105 de 1958,5,Interpretability,2,0.0968196457326892
Ley 47 de 1981,3,Interpretability,2,0.07453629152501938
Ley 47 de 1981,5,Interpretability,2,0.08088432635534085
Ley 47 de 1981,75,Interpretability,2,0.1253802111290034
Ley 109 de 1985,4,Interpretability,2,0.07612795968271009
Ley 109 de 1985,27,Interpretability,2,0.10709280133595755
Ley 109 de 1985,37,Interpretability,2,0.06498628257887516
