Law,Article,category,category_value,complexity_index
Ley 105 de 1958,22,Relevance,1,0.24003623188405798
Ley 105 de 1958,27,Relevance,1,0.1137725890141349
Ley 47 de 1981,28,Relevance,1,0.06657795073656587
Ley 47 de 1981,37,Relevance,1,0.1895687958489891
Ley 109 de 1985,34,Relevance,1,0.14279164430130614
Ley 105 de 1958,35,Relevance,1,0.1137725890141349
Ley 105 de 1958,36,Relevance,1,0.08890230810520665
Ley 47 de 1981,32,Relevance,1,0.14472624798711756
Ley 47 de 1981,35,Relevance,1,0.10796877795670067
Ley 47 de 1981,38,Relevance,1,0.12228633625574044
Ley 47 de 1981,47,Relevance,1,0.1711061907317946
Ley 47 de 1981,50,Relevance,1,0.1253802111290034
Ley 47 de 1981,53,Relevance,1,0.17678699230631598
Ley 47 de 1981,57,Relevance,1,0.17252639112542492
Ley 47 de 1981,65,Relevance,1,0.1273148148148148
Ley 109 de 1985,38,Relevance,1,0.07135295520963798
Ley 1004 de 2005,10,Relevance,1,0.28637502236536055
Ley 1004 de 2005,12,Relevance,1,0.1457662372517445
Ley 105 de 1958,20,Relevance,1,0.27873948828055106
Ley 105 de 1958,24,Relevance,1,0.18669484702093397
Ley 105 de 1958,25,Relevance,1,0.15409733404902484
Ley 105 de 1958,26,Relevance,1,0.1623613347647164
Ley 105 de 1958,29,Relevance,1,0.044451154052603324
Ley 105 de 1958,38,Relevance,1,0.157373859366613
Ley 47 de 1981,25,Relevance,1,0.09442655215602075
Ley 47 de 1981,33,Relevance,1,0.06180294626349377
Ley 47 de 1981,36,Relevance,1,0.1376632671318662
Ley 47 de 1981,41,Relevance,1,0.13276078010377526
Ley 47 de 1981,43,Relevance,1,0.123445607443192
Ley 47 de 1981,59,Relevance,1,0.07121130792628377
Ley 47 de 1981,71,Relevance,1,0.05573447843979245
Ley 109 de 1985,15,Relevance,1,0.23529477545178032
Ley 109 de 1985,16,Relevance,1,0.09441536947575595
Ley 1004 de 2005,3,Relevance,1,0.20780344633001638
Ley 1004 de 2005,7,Relevance,1,0.19280059044551798
Ley 1004 de 2005,8,Relevance,1,0.12167874396135266
Ley 105 de 1958,30,Relevance,1,0.10964617999642153
Ley 105 de 1958,34,Relevance,1,0.16684558955090356
Ley 47 de 1981,26,Relevance,1,0.14297802230571954
Ley 47 de 1981,27,Relevance,1,0.181047593487207
Ley 47 de 1981,34,Relevance,1,0.036388441581678296
Ley 47 de 1981,39,Relevance,1,0.09363630941730781
Ley 47 de 1981,45,Relevance,1,0.17059626051171942
Ley 47 de 1981,48,Relevance,1,0.09636115584183218
Ley 47 de 1981,61,Relevance,1,0.08589416711397387
Ley 109 de 1985,8,Relevance,1,0.11003757380568974
Ley 109 de 1985,9,Relevance,1,0.23251028806584362
Ley 109 de 1985,22,Relevance,1,0.15610574342458403
Ley 109 de 1985,39,Relevance,1,0.07931129599809149
Ley 1004 de 2005,1,Relevance,1,0.09363630941730781
Ley 1004 de 2005,9,Relevance,1,0.2294946919544343
Ley 105 de 1958,28,Relevance,1,0.08890230810520665
Ley 105 de 1958,31,Relevance,1,0.10371935945607443
Ley 105 de 1958,32,Relevance,1,0.10075594918590088
Ley 105 de 1958,33,Relevance,1,0.09249194847020935
Ley 47 de 1981,2,Relevance,1,0.14297802230571954
Ley 47 de 1981,30,Relevance,1,0.057669082125603864
Ley 47 de 1981,31,Relevance,1,0.05960368581141528
Ley 47 de 1981,56,Relevance,1,0.05186527106816962
Ley 47 de 1981,60,Relevance,1,0.049930667382358206
Ley 109 de 1985,10,Relevance,1,0.08668813741277509
Ley 109 de 1985,11,Relevance,1,0.0750805152979066
Ley 1004 de 2005,5,Relevance,1,0.12005054571479694
Ley 105 de 1958,23,Relevance,1,0.1185364108069422
Ley 105 de 1958,37,Relevance,1,0.080012077294686
Ley 47 de 1981,24,Relevance,1,0.0840863004711636
Ley 47 de 1981,29,Relevance,1,0.07701511898371802
Ley 47 de 1981,40,Relevance,1,0.13415861513687602
Ley 47 de 1981,42,Relevance,1,0.11003757380568974
Ley 47 de 1981,44,Relevance,1,0.125807389515119
Ley 109 de 1985,12,Relevance,1,0.19065032078317104
Ley 109 de 1985,17,Relevance,1,0.057027941790421664
