Law,Article,target,target_value,group,umap_x,umap_y,rule
Ley 105 de 1958,22,Interpretability,3,color(2/3),4.456588,7.892774,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,27,Interpretability,3,color(2/3),6.0376954,7.8788376,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,28,Interpretability,3,color(2/3),5.209015,8.125232,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,37,Interpretability,3,color(2/3),5.149967,7.8413134,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,34,Interpretability,3,color(2/3),4.7341084,5.3647985,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,35,Interpretability,2,color(2/3),5.496802,7.0140476,"multi: gray=0/1, color=2/3"
Ley 105 de 1958,36,Interpretability,2,color(2/3),5.83311,6.9108496,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,32,Interpretability,3,color(2/3),5.410496,5.2940187,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,35,Interpretability,3,color(2/3),5.4856443,8.15722,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,38,Interpretability,3,color(2/3),5.640576,8.218733,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,47,Interpretability,3,color(2/3),4.797739,6.0659537,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,50,Interpretability,3,color(2/3),1.3158647,6.4530363,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,53,Interpretability,3,color(2/3),4.7806144,6.1369452,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,57,Interpretability,3,color(2/3),4.934092,6.1092534,"multi: gray=0/1, color=2/3"
Ley 47 de 1981,65,Interpretability,3,color(2/3),4.9195404,8.005453,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,13,Interpretability,3,color(2/3),5.1279573,6.855887,"multi: gray=0/1, color=2/3"
Ley 109 de 1985,38,Interpretability,3,color(2/3),5.9888124,6.116556,"multi: gray=0/1, color=2/3"
Ley 1004 de 2005,10,Interpretability,3,color(2/3),2.8603692,7.4726386,"multi: gray=0/1, color=2/3"
Ley 1004 de 2005,12,Interpretability,3,color(2/3),3.9430077,7.931537,"multi: gray=0/1, color=2/3"
