Law,Article,target,target_value,group,umap_x,umap_y,rule
Ley 105 de 1958,22,Relevance,1,color(1),4.456588,7.892774,"binary: gray=0, color=1"
Ley 105 de 1958,27,Relevance,1,color(1),6.0376954,7.8788376,"binary: gray=0, color=1"
Ley 47 de 1981,28,Relevance,1,color(1),5.209015,8.125232,"binary: gray=0, color=1"
Ley 47 de 1981,37,Relevance,1,color(1),5.149967,7.8413134,"binary: gray=0, color=1"
Ley 109 de 1985,34,Relevance,1,color(1),4.7341084,5.3647985,"binary: gray=0, color=1"
Ley 105 de 1958,35,Relevance,1,color(1),5.496802,7.0140476,"binary: gray=0, color=1"
Ley 105 de 1958,36,Relevance,1,color(1),5.83311,6.9108496,"binary: gray=0, color=1"
Ley 47 de 1981,32,Relevance,1,color(1),5.410496,5.2940187,"binary: gray=0, color=1"
Ley 47 de 1981,35,Relevance,1,color(1),5.4856443,8.15722,"binary: gray=0, color=1"
Ley 47 de 1981,38,Relevance,1,color(1),5.640576,8.218733,"binary: gray=0, color=1"
Ley 47 de 1981,47,Relevance,1,color(1),4.797739,6.0659537,"binary: gray=0, color=1"
Ley 47 de 1981,50,Relevance,1,color(1),1.3158647,6.4530363,"binary: gray=0, color=1"
Ley 47 de 1981,53,Relevance,1,color(1),4.7806144,6.1369452,"binary: gray=0, color=1"
Ley 47 de 1981,57,Relevance,1,color(1),4.934092,6.1092534,"binary: gray=0, color=1"
Ley 47 de 1981,65,Relevance,1,color(1),4.9195404,8.005453,"binary: gray=0, color=1"
Ley 109 de 1985,13,Relevance,0,gray(0),5.1279573,6.855887,"binary: gray=0, color=1"
Ley 109 de 1985,38,Relevance,1,color(1),5.9888124,6.116556,"binary: gray=0, color=1"
Ley 1004 de 2005,10,Relevance,1,color(1),2.8603692,7.4726386,"binary: gray=0, color=1"
Ley 1004 de 2005,12,Relevance,1,color(1),3.9430077,7.931537,"binary: gray=0, color=1"
Ley 105 de 1958,11,Relevance,0,gray(0),2.3190186,5.311217,"binary: gray=0, color=1"
Ley 105 de 1958,19,Relevance,0,gray(0),1.6605331,6.610831,"binary: gray=0, color=1"
Ley 105 de 1958,20,Relevance,1,color(1),6.2739906,6.718183,"binary: gray=0, color=1"
Ley 105 de 1958,24,Relevance,1,color(1),1.8115454,6.666762,"binary: gray=0, color=1"
Ley 105 de 1958,25,Relevance,1,color(1),5.13217,8.378471,"binary: gray=0, color=1"
Ley 105 de 1958,26,Relevance,1,color(1),4.993965,8.089772,"binary: gray=0, color=1"
Ley 105 de 1958,29,Relevance,1,color(1),4.683045,7.300403,"binary: gray=0, color=1"
Ley 105 de 1958,38,Relevance,1,color(1),5.7083216,7.3109775,"binary: gray=0, color=1"
Ley 47 de 1981,22,Relevance,0,gray(0),5.187154,5.6495585,"binary: gray=0, color=1"
Ley 47 de 1981,25,Relevance,1,color(1),5.849122,7.509543,"binary: gray=0, color=1"
Ley 47 de 1981,33,Relevance,1,color(1),6.00219,4.9274793,"binary: gray=0, color=1"
Ley 47 de 1981,36,Relevance,1,color(1),5.040161,6.1755066,"binary: gray=0, color=1"
Ley 47 de 1981,41,Relevance,1,color(1),4.4180245,6.9163604,"binary: gray=0, color=1"
Ley 47 de 1981,43,Relevance,1,color(1),3.7987516,4.0344586,"binary: gray=0, color=1"
Ley 47 de 1981,59,Relevance,1,color(1),4.155137,7.8708725,"binary: gray=0, color=1"
Ley 47 de 1981,66,Relevance,0,gray(0),1.447426,6.4728546,"binary: gray=0, color=1"
Ley 47 de 1981,67,Relevance,0,gray(0),1.4824681,6.301975,"binary: gray=0, color=1"
Ley 47 de 1981,71,Relevance,1,color(1),5.028796,6.4722443,"binary: gray=0, color=1"
Ley 109 de 1985,7,Relevance,0,gray(0),4.930908,5.3131638,"binary: gray=0, color=1"
Ley 109 de 1985,15,Relevance,1,color(1),3.7182827,6.975241,"binary: gray=0, color=1"
Ley 109 de 1985,16,Relevance,1,color(1),4.9017963,7.2358274,"binary: gray=0, color=1"
Ley 1004 de 2005,3,Relevance,1,color(1),6.5712767,6.6265984,"binary: gray=0, color=1"
Ley 1004 de 2005,7,Relevance,1,color(1),3.826446,7.8166,"binary: gray=0, color=1"
Ley 1004 de 2005,8,Relevance,1,color(1),2.662262,7.5450516,"binary: gray=0, color=1"
Ley 105 de 1958,3,Relevance,0,gray(0),6.267308,5.6041822,"binary: gray=0, color=1"
Ley 105 de 1958,17,Relevance,0,gray(0),2.2688692,6.6536655,"binary: gray=0, color=1"
Ley 105 de 1958,21,Relevance,0,gray(0),6.5928183,6.6322913,"binary: gray=0, color=1"
Ley 105 de 1958,30,Relevance,1,color(1),6.0018544,7.515271,"binary: gray=0, color=1"
Ley 105 de 1958,34,Relevance,1,color(1),5.5665517,7.6161494,"binary: gray=0, color=1"
Ley 47 de 1981,6,Relevance,0,gray(0),5.4378786,5.834909,"binary: gray=0, color=1"
Ley 47 de 1981,8,Relevance,0,gray(0),3.1020024,4.456535,"binary: gray=0, color=1"
