umap_x,umap_y,Risk Score,Relevance,Interpretability,Completeness,Differential Regime,Discretionality
4.456588,7.892774,7,1,3,1,1,1
6.0376954,7.8788376,7,1,3,1,1,1
5.209015,8.125232,7,1,3,1,1,1
5.149967,7.8413134,7,1,3,1,1,1
4.7341084,5.3647985,7,1,3,1,1,1
5.496802,7.0140476,6,1,2,1,1,1
5.83311,6.9108496,6,1,2,1,1,1
5.410496,5.2940187,6,1,3,1,0,1
5.4856443,8.15722,6,1,3,1,1,0
5.640576,8.218733,6,1,3,0,1,1
4.797739,6.0659537,6,1,3,0,1,1
1.3158647,6.4530363,6,1,3,0,1,1
4.7806144,6.1369452,6,1,3,0,1,1
4.934092,6.1092534,6,1,3,0,1,1
4.9195404,8.005453,6,1,3,1,1,0
5.1279573,6.855887,6,0,3,1,1,1
5.9888124,6.116556,6,1,3,0,1,1
2.8603692,7.4726386,6,1,3,0,1,1
3.9430077,7.931537,6,1,3,1,1,0
2.3190186,5.311217,5,0,3,1,0,1
1.6605331,6.610831,5,0,3,1,0,1
6.2739906,6.718183,5,1,3,1,0,0
1.8115454,6.666762,5,1,3,1,0,0
5.13217,8.378471,5,1,2,1,1,0
4.993965,8.089772,5,1,2,1,0,1
4.683045,7.300403,5,1,3,0,1,0
5.7083216,7.3109775,5,1,3,0,0,1
5.187154,5.6495585,5,0,2,1,1,1
5.849122,7.509543,5,1,2,1,0,1
6.00219,4.9274793,5,1,3,0,0,1
5.040161,6.1755066,5,1,3,0,0,1
4.4180245,6.9163604,5,1,2,1,0,1
3.7987516,4.0344586,5,1,3,0,1,0
4.155137,7.8708725,5,1,3,0,0,1
1.447426,6.4728546,5,0,3,0,1,1
1.4824681,6.301975,5,0,3,0,1,1
5.028796,6.4722443,5,1,3,0,1,0
4.930908,5.3131638,5,0,3,1,0,1
3.7182827,6.975241,5,1,2,0,1,1
4.9017963,7.2358274,5,1,3,0,1,0
6.5712767,6.6265984,5,1,3,1,0,0
3.826446,7.8166,5,1,2,1,1,0
2.662262,7.5450516,5,1,2,1,1,0
6.267308,5.6041822,4,0,3,0,0,1
2.2688692,6.6536655,4,0,3,1,0,0
6.5928183,6.6322913,4,0,3,1,0,0
6.0018544,7.515271,4,1,2,0,0,1
5.5665517,7.6161494,4,1,2,0,0,1
5.4378786,5.834909,4,0,2,0,1,1
3.1020024,4.456535,4,0,3,0,0,1
5.876003,6.6958213,4,1,2,1,0,0
5.0304165,7.815678,4,1,1,1,1,0
