id,Law,Article,split,target
Ley 47 de 1981__59,Ley 47 de 1981,59,train,Differential Regime
Ley 109 de 1985__7,Ley 109 de 1985,7,train,Differential Regime
Ley 47 de 1981__32,Ley 47 de 1981,32,train,Differential Regime
Ley 109 de 1985__4,Ley 109 de 1985,4,train,Differential Regime
Ley 105 de 1958__12,Ley 105 de 1958,12,train,Differential Regime
Ley 105 de 1958__34,Ley 105 de 1958,34,train,Differential Regime
Ley 47 de 1981__16,Ley 47 de 1981,16,train,Differential Regime
Ley 47 de 1981__50,Ley 47 de 1981,50,train,Differential Regime
Ley 105 de 1958__28,Ley 105 de 1958,28,train,Differential Regime
Ley 47 de 1981__22,Ley 47 de 1981,22,train,Differential Regime
Ley 47 de 1981__4,Ley 47 de 1981,4,train,Differential Regime
Ley 105 de 1958__31,Ley 105 de 1958,31,train,Differential Regime
Ley 105 de 1958__17,Ley 105 de 1958,17,train,Differential Regime
Ley 47 de 1981__25,Ley 47 de 1981,25,train,Differential Regime
Ley 47 de 1981__5,Ley 47 de 1981,5,train,Differential Regime
Ley 109 de 1985__23,Ley 109 de 1985,23,train,Differential Regime
Ley 47 de 1981__30,Ley 47 de 1981,30,train,Differential Regime
Ley 109 de 1985__32,Ley 109 de 1985,32,train,Differential Regime
Ley 109 de 1985__25,Ley 109 de 1985,25,train,Differential Regime
Ley 105 de 1958__10,Ley 105 de 1958,10,train,Differential Regime
Ley 47 de 1981__57,Ley 47 de 1981,57,train,Differential Regime
Ley 47 de 1981__42,Ley 47 de 1981,42,train,Differential Regime
Ley 47 de 1981__23,Ley 47 de 1981,23,train,Differential Regime
Ley 47 de 1981__37,Ley 47 de 1981,37,train,Differential Regime
Ley 47 de 1981__33,Ley 47 de 1981,33,train,Differential Regime
Ley 105 de 1958__27,Ley 105 de 1958,27,train,Differential Regime
Ley 109 de 1985__19,Ley 109 de 1985,19,train,Differential Regime
Ley 109 de 1985__9,Ley 109 de 1985,9,train,Differential Regime
