Law,Article,Spanish text,Relevance,Interpretability,Completeness,Differential Regime,Discretionality,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,umap_x,umap_y,Risk Score,Spanish text__phrase_reorder,Spanish text__syn_replace_10pct
Ley 105 de 1958,22,"Todas las mercancías o materias primas que entren al área de la Zona Franca estarán exentas del pago de impuestos, gravámenes y demás contribuciones fiscales nacionales, departamentales o municipales o de cualquier otra clase, inclusive derechos consulares o de cualquier otra denominación, salvo el pago de arrendamientos de locales o de servicios de almacenaje, custodia, estiba, acarreo o de cualquier otro servicio que se preste dentro de la Zona de acuerdo con los reglamentos y tarifas que expida la Junta Directiva con la aprobación del Gobierno Nacional​",1,3,1,1,1,7,,,,4.456588,7.892774,7,"Todas las mercancías o materias primas que entren al área de la Zona Franca estarán exentas del pago de impuestos, gravámenes y demás contribuciones fiscales nacionales, departamentales o municipales o de cualquier otra clase, inclusive derechos consulares o de cualquier otra denominación, salvo el pago de arrendamientos de locales o de servicios de almacenaje, custodia, estiba, acarreo o de cualquier otro servicio que se preste dentro de la Zona de acuerdo con los reglamentos y tarifas que expida la Junta Directiva con la aprobación del Gobierno Nacional​","Todas las mercancías o materias primas que entren al área de la Zona Franca estarán exentas del pago de impuestos, gravámenes y demás contribuciones fiscales nacionales, departamentales o municipales o de cualquier otra clase, inclusive derechos consulares o de cualquier otra denominación, salvo el pago de arrendamientos de locales o de servicios de almacenaje, custodia, estiba, acarreo o de cualquier otro servicio que se preste dentro de la Zona de acuerdo con los reglamentos y tarifas que expida la Junta Directiva con la aprobación del Gobierno Nacional​"
Ley 105 de 1958,27,"Cuando se introduzcan al país artículos elaborados, confeccionados o manufacturados dentro de la Zona Franca y que contengan materias primas nacionales o extranjeras, se pagarán únicamente los derechos que correspondan a las materias primas extranjeras utilizadas en la elaboración.
El Gobierno, al dictar el decreto reglamentario, establecerá las normas necesarias para determinar en cada caso qué se entiende por materia prima según la naturaleza de la respectiva industria.",1,3,1,1,1,7,,,,6.0376954,7.8788376,7,"El Gobierno, al dictar el decreto reglamentario, establecerá las normas necesarias para determinar en cada caso qué se entiende por materia prima según la naturaleza de la respectiva industria. Cuando se introduzcan al país artículos elaborados, confeccionados o manufacturados dentro de la Zona Franca y que contengan materias primas nacionales o extranjeras, se pagarán únicamente los derechos que correspondan a las materias primas extranjeras utilizadas en la elaboración.","Cuando se introduzcan al país artículos elaborados, confeccionados o manufacturados dentro de la Zona Franca y que contengan materias primas nacionales o extranjeras, se pagarán únicamente los derechos que correspondan a las materias primas extranjeras utilizadas en la elaboración.
El Gobierno, al dictar el decreto reglamentario, establecerá las normas necesarias para determinar en cada caso qué se entiende por materia prima según la naturaleza de la respectiva industria."
Ley 47 de 1981,28,"De la reexpedición de mercancías. La reexpedición de mercancías introducidas a las zonas francas comerciales desde el exterior, estará exenta del pago de impuestos, gravámenes y demás contribuciones fiscales. Para el desarrollo de este tipo de operación sólo será indispensable obtener permiso de la respectiva zona franca comercial, con arreglo a sus reglamentos.",1,3,1,1,1,7,,,,5.209015,8.125232,7,"Para el desarrollo de este tipo de operación sólo será indispensable obtener permiso de la respectiva zona franca comercial, con arreglo a sus reglamentos. De la reexpedición de mercancías. La reexpedición de mercancías introducidas a las zonas francas comerciales desde el exterior, estará exenta del pago de impuestos, gravámenes y demás contribuciones fiscales.","De la reexpedición de mercancías. La reexpedición de mercancías introducidas a las zonas francas comerciales desde el exterior, estará exenta del pago de impuestos, gravámenes y demás contribuciones fiscales. Para el desarrollo de este tipo de operación sólo será indispensable obtener permiso de la respectiva zona franca comercial, con arreglo a sus reglamentos."
Ley 47 de 1981,37,"De los gravámenes aplicables a insumos y materias primas. Los insumos y materias primas que ingresen al área de jurisdicción de las zonas francas industriales, procedentes del exterior, estarán exentas del pago de impuestos, gravámenes o cualquiera otra contribución fiscal en favor de la Nación o de otras entidades públicas del orden nacional, mientras permanezcan dentro de la respectiva zona. No quedan comprendidos dentro de la exención a la que se refiere el presente artículo, el pago de arrendamientos, el de servicio de almacenaje, custodia, estiba, acarreo o cualquier otro que se preste dentro de la zona, los cuales se sujetarán a las tarifas establecidas por el respectivo organismo. El componente nacional de los productos y artículos que proyecten exportarse desde las zonas francas industriales, estará sujeto a los impuestos y gravámenes fijados por las normas generales sobre la materia, respecto de tales productos o artículos. ",1,3,1,1,1,7,,,,5.149967,7.8413134,7,"De los gravámenes aplicables a insumos y materias primas. No quedan comprendidos dentro de la exención a la que se refiere el presente artículo, el pago de arrendamientos, el de servicio de almacenaje, custodia, estiba, acarreo o cualquier otro que se preste dentro de la zona, los cuales se sujetarán a las tarifas establecidas por el respectivo organismo. Los insumos y materias primas que ingresen al área de jurisdicción de las zonas francas industriales, procedentes del exterior, estarán exentas del pago de impuestos, gravámenes o cualquiera otra contribución fiscal en favor de la Nación o de otras entidades públicas del orden nacional, mientras permanezcan dentro de la respectiva zona. El componente nacional de los productos y artículos que proyecten exportarse desde las zonas francas industriales, estará sujeto a los impuestos y gravámenes fijados por las normas generales sobre la materia, respecto de tales productos o artículos.","De los gravámenes aplicables a insumos y materias primas. Los insumos y materias primas que ingresen al área de jurisdicción de las zonas francas industriales, procedentes del exterior, estarán exentas del pago de impuestos, gravámenes o cualquiera otra contribución fiscal en favor de la Nación o de otras entidades públicas del orden nacional, mientras permanezcan dentro de la respectiva zona. No quedan comprendidos dentro de la exención a la que se refiere el presente artículo, el pago de arrendamientos, el de servicio de almacenaje, custodia, estiba, acarreo o cualquier otro que se preste dentro de la zona, los cuales se sujetarán a las tarifas establecidas por el respectivo organismo. El componente nacional de los productos y artículos que proyecten exportarse desde las zonas francas industriales, estará sujeto a los impuestos y gravámenes fijados por las normas generales sobre la materia, respecto de tales productos o artículos. "
Ley 109 de 1985,34,"DE LAS ZONAS FRANCAS DE CARACTER TRANSITORIO. Los terrenos donde se celebren ferias, exposiciones, congresos y seminarios de carácter internacional podrán recibir en forma transitoria el tratamiento de zonas francas comerciales, previa autorización especial del Gobierno impartida mediante decreto en que se determine en forma clara, la delimitación del área correspondiente, el período de tiempo durante el cual se extenderá la autorización, las condiciones de operación de la zona franca transitoria y los sistemas de control aduanero que deberán aplicarse a la misma.",1,3,1,1,1,7,,,,4.7341084,5.3647985,7,"Los terrenos donde se celebren ferias, exposiciones, congresos y seminarios de carácter internacional podrán recibir en forma transitoria el tratamiento de zonas francas comerciales, previa autorización especial del Gobierno impartida mediante decreto en que se determine en forma clara, la delimitación del área correspondiente, el período de tiempo durante el cual se extenderá la autorización, las condiciones de operación de la zona franca transitoria y los sistemas de control aduanero que deberán aplicarse a la misma. DE LAS ZONAS FRANCAS DE CARACTER TRANSITORIO.","DE LAS ZONAS FRANCAS DE CARACTER TRANSITORIO. Los terrenos donde se celebren ferias, exposiciones, congresos y seminarios de carácter internacional podrán recibir en forma transitoria el tratamiento de zonas francas comerciales, previa autorización especial del Gobierno impartida mediante decreto en que se determine en forma clara, la delimitación del área correspondiente, el período de tiempo durante el cual se extenderá la autorización, las condiciones de operación de la zona franca transitoria y los sistemas de control aduanero que deberán aplicarse a la misma."
Ley 105 de 1958,35,"Se permitirá la entrada a la Zona Franca de cualquier mercancía o materia prima, con excepción de las enumeradas en el artículo siguiente, siempre que dichos elementos vengan consignados a casas establecidas dentro de la Zona o a la Gerencia de la Zona en términos del artículo anterior. En este último caso, los documentos de embarque serán endosados a la Gerencia de la Zona, previa autorización del Gerente.",1,2,1,1,1,6,,,,5.496802,7.0140476,6,"En este último caso, los documentos de embarque serán endosados a la Gerencia de la Zona, previa autorización del Gerente. Se permitirá la entrada a la Zona Franca de cualquier mercancía o materia prima, con excepción de las enumeradas en el artículo siguiente, siempre que dichos elementos vengan consignados a casas establecidas dentro de la Zona o a la Gerencia de la Zona en términos del artículo anterior.","Se permitirá la entrada a la Zona Franca de cualquier mercancía o materia prima, con excepción de las enumeradas en el artículo siguiente, siempre que dichos elementos vengan consignados a casas establecidas dentro de la Zona o a la Gerencia de la Zona en términos del artículo anterior. En este último caso, los documentos de embarque serán endosados a la Gerencia de la Zona, previa autorización del Gerente."
Ley 105 de 1958,36,"No se permitirá la entrada a la Zona de:

a) Materias explosivas o inflamables;
b) Armas en general, y
c) Los artículos que determinen en el reglamento de la Zona, salvo autorización expresa del Gobierno Nacional.",1,2,1,1,1,6,,,,5.83311,6.9108496,6,"b) Armas en general, y c) Los artículos que determinen en el reglamento de la Zona, salvo autorización expresa del Gobierno Nacional. No se permitirá la entrada a la Zona de: a) Materias explosivas o inflamables;","No se permitirá la entrada a la Zona de:

a) Materias explosivas o inflamables;
b) Armas en general, y
c) Los artículos que determinen en el reglamento de la Zona, salvo autorización expresa del Gobierno Nacional."
Ley 47 de 1981,32,"De otras actividades dentro del área. Dentro del área correspondiente a las zonas francas comerciales no se permitirá el desarrollo de actividades distintas a las previstas en este Capítulo, ni el establecimiento de residencias particulares, ni el ejercicio del comercio al por menor, salvo que se trate de restaurantes, cafeterías y, en general, de establecimientos destinados a prestar facilidades a las personas que trabajen dentro de la jurisdicción de la respectiva zona, todos los cuales requerirán autorización previa de la misma para su establecimiento.    ",1,3,1,0,1,6,,,,5.410496,5.2940187,6,"De otras actividades dentro del área. Dentro del área correspondiente a las zonas francas comerciales no se permitirá el desarrollo de actividades distintas a las previstas en este Capítulo, ni el establecimiento de residencias particulares, ni el ejercicio del comercio al por menor, salvo que se trate de restaurantes, cafeterías y, en general, de establecimientos destinados a prestar facilidades a las personas que trabajen dentro de la jurisdicción de la respectiva zona, todos los cuales requerirán autorización previa de la misma para su establecimiento.","De otras actividades dentro del área. Dentro del área correspondiente a las zonas francas comerciales no se permitirá el desarrollo de actividades distintas a las previstas en este Capítulo, ni el establecimiento de residencias particulares, ni el ejercicio del comercio al por menor, salvo que se trate de restaurantes, cafeterías y, en general, de establecimientos destinados a prestar facilidades a las personas que trabajen dentro de la jurisdicción de la respectiva zona, todos los cuales requerirán autorización previa de la misma para su establecimiento.    "
Ley 47 de 1981,35,"Del derecho a la exportación de productos elaborados en zona franca. Las empresas establecidas en zonas francas industriales tendrán derecho a la libre exportación de los productos manufacturados en ellas, sin que haya lugar al pago de impuestos, gravámenes y otras contribuciones en favor de la Nación o de otras entidades públicas nacionales, respecto de los productos terminados, ni de sus componentes de origen extranjero.   ",1,3,1,1,0,6,,,,5.4856443,8.15722,6,"Las empresas establecidas en zonas francas industriales tendrán derecho a la libre exportación de los productos manufacturados en ellas, sin que haya lugar al pago de impuestos, gravámenes y otras contribuciones en favor de la Nación o de otras entidades públicas nacionales, respecto de los productos terminados, ni de sus componentes de origen extranjero. Del derecho a la exportación de productos elaborados en zona franca.","Del derecho a la exportación de productos elaborados en zona franca. Las empresas establecidas en zonas francas industriales tendrán derecho a la libre exportación de los productos manufacturados en ellas, sin que haya lugar al pago de impuestos, gravámenes y otras contribuciones en favor de la Nación o de otras entidades públicas nacionales, respecto de los productos terminados, ni de sus componentes de origen extranjero.   "
Ley 47 de 1981,38,"De los impuestos sobre la introducción al país de artículos elaborados en zona franca. Cuando se introduzcan al país productos o artículos elaborados dentro de una zona franca industrial, los derechos y gravámenes de importación se causarán y pagarán únicamente sobre el componente extranjero utilizado en su fabricación. Cuando se introduzcan al país productos o artículos procesados industrialmente en zona franca, los gravámenes que se causen sobre el componente extranjero utilizado en su fabricación, deberán cancelarse con anterioridad a la fecha de su retiro de la respectiva zona. ",1,3,0,1,1,6,,,,5.640576,8.218733,6,"Cuando se introduzcan al país productos o artículos procesados industrialmente en zona franca, los gravámenes que se causen sobre el componente extranjero utilizado en su fabricación, deberán cancelarse con anterioridad a la fecha de su retiro de la respectiva zona. Cuando se introduzcan al país productos o artículos elaborados dentro de una zona franca industrial, los derechos y gravámenes de importación se causarán y pagarán únicamente sobre el componente extranjero utilizado en su fabricación. De los impuestos sobre la introducción al país de artículos elaborados en zona franca.","De los impuestos sobre la introducción al país de artículos elaborados en zona franca. Cuando se introduzcan al país productos o artículos elaborados dentro de una zona franca industrial, los derechos y gravámenes de importación se causarán y pagarán únicamente sobre el componente extranjero utilizado en su fabricación. Cuando se introduzcan al país productos o artículos procesados industrialmente en zona franca, los gravámenes que se causen sobre el componente extranjero utilizado en su fabricación, deberán cancelarse con anterioridad a la fecha de su retiro de la respectiva zona. "
